rd,latitude,longitude,Region,Market,NRSF
RD158,43.144777,-87.953225,North,Milwaukee,30750
RD159,34.8027804,-86.8781529,Central,Huntsville,44900
RD160,30.5070827,-90.9339616,South,Denham Springs,22550
RD161,31.3088411,-92.4760056,South,Monroe,44300
RD162,32.516351,-92.1540031,South,Monroe,31550
RD163,32.5445905,-92.2309888,South,Monroe,10100
RD164,40.4476314,-88.9918044,North,Peoria,68875
RD165,30.5045889,-90.9240789,South,Denham Springs,18250
RD166,30.5336015,-90.9565424,South,Denham Springs,15950
RD167,39.9876123,-81.5760069,Central,Columbus,35000
RD168,42.029113,-80.058654,North,Pittsburgh,48550
RD169,40.505174,-80.0229479,North,Pittsburgh,23050
RD170,30.5851723,-90.9515433,South,Baton Rouge,26000
RD171,30.5201335,-90.4977234,South,Denham Springs,82150
RD172,38.90471,-94.5349729,Central,Kansas City,47825
RD173,37.7386593,-89.2197183,Central,Cape Girardeau,32650
RD174,38.6930723,-90.009946,Central,Saint Louis,43950
RD175,40.680516,-82.566243,North,Toledo,57950
RD176,41.6307107,-83.6559137,North,Toledo,60525
RD177,41.5744616,-83.7001516,North,Toledo,34800
RD178,41.2027842,-81.2978608,North,Pittsburgh,34700
RD179,34.785251,-92.2065865,South,North Little Rock,42600
RD180,34.861729,-92.3997112,South,North Little Rock,40875
RD181,35.097249,-92.419521,South,North Little Rock,84225
RD182,43.050508,-88.2411954,North,Milwaukee,58403
RD183,43.021632,-88.2072279,North,Milwaukee,15425
RD184,30.4915379,-90.7487881,South,Denham Springs,31300
RD185,40.6194293,-79.1897254,North,Pittsburgh,45050
RD186,42.0229645,-93.7083923,North,Des Moines,45700
RD187,34.960965,-92.4233642,South,North Little Rock,20400
RD188,35.0559304,-92.4240418,South,North Little Rock,31350
RD189,30.2997111,-92.0309543,South,Baton Rouge,43000
RD190,39.6697082,-79.9105246,North,Pittsburgh,45814
RD191,30.758301,-87.791281,South,Mobile,31300
RD192,32.3052762,-90.171703,South,Jackson,32700
RD193,34.8923409,-92.3883239,South,North Little Rock,67000
RD195,42.8400588,-85.5283723,North,Lansing,40000
RD196,39.6250382,-86.0847954,North,Indianapolis,39350
RD198,30.320994,-89.2638336,South,Gulfport,39900
RD200,43.0227297,-89.4706914,North,Milwaukee,19150
